"","destination_place","distance","time","n"
"1","Central area",4.80376964354159,28.3963140411396,2609
"2","Chicago (excl. CBD)",3.39480622806228,23.4631596315963,11111
"3","DuPage",4.36559581997125,15.0087378819713,9043
"4","Kane",5.32408948194662,16.4421297749869,3185
"5","Kendall",4.20837631366209,13.9672190784155,2474
"6","Lake",4.7766375106929,16.1194325634445,4676
"7","McHenry",5.49573280423281,16.0253086419753,1512
"8","Suburban Cook",3.98400548112058,16.3301186126095,11494
"9","Will",4.65929324434759,15.7586011985835,7342
