"","geoid_tract","state_fips","county_fips","tract_fips","tract_fips_n"
"1","17031080100","17","031","080100",80100
"2","17031080201","17","031","080201",80201
"3","17031080202","17","031","080202",80202
"4","17031080300","17","031","080300",80300
"5","17031080400","17","031","080400",80400
"6","17031081000","17","031","081000",81000
"7","17031081100","17","031","081100",81100
"8","17031081201","17","031","081201",81201
"9","17031081202","17","031","081202",81202
"10","17031081300","17","031","081300",81300
"11","17031081401","17","031","081401",81401
"12","17031081402","17","031","081402",81402
"13","17031081403","17","031","081403",81403
"14","17031081500","17","031","081500",81500
"15","17031081600","17","031","081600",81600
"16","17031081700","17","031","081700",81700
"17","17031081800","17","031","081800",81800
"18","17031081900","17","031","081900",81900
"19","17031241600","17","031","241600",241600
"20","17031242000","17","031","242000",242000
"21","17031243300","17","031","243300",243300
"22","17031243400","17","031","243400",243400
"23","17031243500","17","031","243500",243500
"24","17031280100","17","031","280100",280100
"25","17031281900","17","031","281900",281900
"26","17031283100","17","031","283100",283100
"27","17031283200","17","031","283200",283200
"28","17031283800","17","031","283800",283800
"29","17031310200","17","031","310200",310200
"30","17031310300","17","031","310300",310300
"31","17031310400","17","031","310400",310400
"32","17031310500","17","031","310500",310500
"33","17031310600","17","031","310600",310600
"34","17031310700","17","031","310700",310700
"35","17031320100","17","031","320100",320100
"36","17031320400","17","031","320400",320400
"37","17031320600","17","031","320600",320600
"38","17031330100","17","031","330100",330100
"39","17031330200","17","031","330200",330200
"40","17031832900","17","031","832900",832900
"41","17031833000","17","031","833000",833000
"42","17031833100","17","031","833100",833100
"43","17031833300","17","031","833300",833300
"44","17031838300","17","031","838300",838300
"45","17031839000","17","031","839000",839000
"46","17031839100","17","031","839100",839100
"47","17031841100","17","031","841100",841100
"48","17031841900","17","031","841900",841900
"49","17031842200","17","031","842200",842200
"50","17031842300","17","031","842300",842300
"51","17031842900","17","031","842900",842900
"52","17031843200","17","031","843200",843200
